Component,Quantity,Reference Designator,Customer Reference,Value,Quantity Per PCB,Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Footprint,Description,Datasheet,Part,References,UserGuide
29, 25, R1 R2 R3 R6 R7 R8 R9 R10 R11 R12 R13 R14 R16 R18 R19 R20 R25 R26 R27 R28 R31 R32 R35 R36 R37, R1 R2 R3 R6 R7 R8 R9 R10 R11 R12 R13 R14 R16 R18 R19 R20 R25 R26 R27 R28 R31 R32 R35 R36 R37,10K,25,RNF14FTD10K0CT-ND,Stackpole Electronics Inc,RNF14FTD10K0,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,R1 R2 R3 R6 R7 R8 R9 R10 R11 R12 R13 R14 R16 R18 R19 R20 R25 R26 R27 R28 R31 R32 R35 R36 R37,
30, 2, R15 R38, R15 R38,100K,2,RNF14FTD100KCT-ND,Stackpole Electronics Inc,RNF14FTD100K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,R15 R38,
31, 2, R33 R34, R33 R34,1M,2,RNF14FTD1M00CT-ND,Stackpole Electronics Inc,RNF14FTD1M00,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,R33 R34,
32, 1, R4, R4,316K 1%,1,RNF14FTD316KCT-ND,Stackpole Electronics Inc,RNF14FTD316K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,R4,
33, 1, R5, R5,412K 1%,1,RNF14FTD412KCT-ND,Stackpole Electronics Inc,RNF14FTD412K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,R5,
34, 8, SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8, SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8,BTN,8,SW400-ND,Omron Electronics Inc-EMC Div,B3F-1000,SW_TH_Tactile_Omron_B3F-10xx,"Push button switch, generic, two pins",https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf,SW_Push,SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8,
35, 1, SW9, SW9,Reset,1,SW950-ND,Omron Electronics Inc-EMC Div,B3F-1006,SW_TH_Tactile_Omron_B3F-10xx,"Push button switch, generic, two pins",https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf,SW_Push,SW9,
36, 1, U7, U7,25LC1024-I/P,1,25LC1024-I/P-ND,Microchip Technology,25LC1024-I/P,DIP-8_W7.62mm,"SPI Serial EEPROM, DIP-8/SOIC-8/TSSOP-8",https://ww1.microchip.com/downloads/en/DeviceDoc/22064D.pdf,25LCxxx,U7,
37, 1, U5, U5,ATmega328P-PU,1,ATMEGA328P-PU-ND,Microchip Technology,ATMEGA328P-PU,DIP-28_W7.62mm,,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf,ATmega328P-PU-UserLibrary,U5,
38, 1, U4, U4,LT1303CN8-5#PBF,1,LT1303CN8-5#PBF-ND,Analog Devices Inc.,LT1303CN8-5#PBF,PDIP-8_N,,https://www.analog.com/media/en/technical-documentation/data-sheets/lt1303.pdf,LT1303CN8-5#PBF-UserLibrary,U4,
39, 1, U8, U8,MAX4466EXK,1,MAX4466EXK+CT-ND,Maxim Integrated,MAX4466EXK+T,SOT65P210X110-5N,,https://datasheets.maximintegrated.com/en/ds/MAX4465-MAX4469.pdf,MAX4466EXK,U8,
40, 1, U6, U6,MCP3201,1,MCP3201-CI/P-ND,Microchip Technology,MCP3201-CI/P,DIP-8_W7.62mm,,https://ww1.microchip.com/downloads/en/DeviceDoc/21290F.pdf,MCP3201_TriStateMISO-UserLibrary,U6,
41, 1, U3, U3,RN4871-I/RM140,1,150-RN4871-I/RM140-ND,Microchip Technology,RN4871-I/RM140,Microchip_RN4871,Bluetooth Low Energy 4.2 Module,https://ww1.microchip.com/downloads/en/DeviceDoc/RN4870-71-Data-Sheet-DS50002489E.pdf,RN4871,U3,https://ww1.microchip.com/downloads/en/DeviceDoc/RN4870-71-Bluetooth-Low-Energy-Module-User-Guide-DS50002466C.pdf
42, 1, U1, U1,SN74HC153N,1,296-8238-5-ND,Texas Instruments,SN74HC153N,DIP794W45P254L1969H508Q16,,https://www.ti.com/lit/ds/symlink/sn74hc153.pdf,SN74HC153N,U1,
43, 1, U2, U2,TSR_1-2433,1,1951-2742-ND,Traco Power,TSR 1-2433,Converter_DCDC_TRACO_TSR-1_THT,"1A step-down regulator module, fixed 3.3V output voltage, 5-36V input voltage, -40°C to +85°C temperature range, TO-220 compatible LM78xx replacement",https://www.tracopower.com/sites/default/files/products/datasheets/tsr1_datasheet.pdf,TSR_1-2433,U2,
44, 1, Y1, Y1,16MHz,1,887-1244-ND,TXC CORPORATION,9B-16.000MEEJ-B,Crystal_HC49-U_Vertical,Two pin crystal,http://www.txccrystal.com/images/pdf/9b-accuracy.pdf,Crystal,Y1,





Component Groups:,44
Component Count:,113
Fitted Components:,113
Number of PCBs:,1
Total components:,113
Schematic Version:,1.0
Schematic Date:,2021-02-14
PCB Variant:,udefault
BoM Date:,2/17/2021 12:20:09 AM
Schematic Source:,ShotTimer.sch
KiCad Version:,Eeschema (5.1.9)-1
